,id,distance,ascent_meters,elapsed_time,season,time_of_day,downhill_pctg,green_pctg,yellow_pctg,orange_pctg,red_pctg,black_pctg
27,10837608507,17394.38,646.5999999999999,8124.0,fall,morning,0.34208157233202957,0.28937437863239673,0.029017857145903842,0.07196014293257653,0.24269862669657444,0.024867422260518766
28,10862578533,16622.8,654.4000000000002,6838.0,fall,morning,0.3271603579245883,0.26419840244306664,0.033264788286663086,0.12404401394195266,0.2208056541433262,0.03052678326040307
29,10901154028,13657.57,460.7999999999998,5442.0,fall,afternoon,0.3016747573658902,0.3486547711738741,0.058486170064209295,0.11700616450271198,0.13446335855188665,0.039714778341427705
30,10929397387,41716.01,798.599999999999,11084.0,fall,morning,0.280142595224061,0.44355791524654775,0.1354437887575208,0.10402598785385117,0.031919016167607436,0.004910696750411897
31,10943091811,10633.94,407.9999999999999,4213.0,fall,afternoon,0.2698634207761554,0.2724834409685639,0.06645068007574473,0.12892337840685544,0.22443079870199642,0.0378482810706841
32,11029883342,16008.99,532.5999999999996,6228.0,fall,afternoon,0.3596672195458025,0.3025193909283077,0.06236548042104689,0.11809871272904571,0.12110952591044583,0.03623967046535122
33,11043587280,20034.62,705.8000000000003,7696.0,winter,morning,0.349900146591924,0.27586187630605963,0.0578067051267033,0.12722917139494447,0.14573958533720371,0.04346251524316491
34,11062322244,23352.89,565.6000000000001,7718.0,winter,afternoon,0.3068939947841367,0.4199726482676949,0.11188909716873174,0.08614434588078762,0.047251420203760865,0.027848493694887996
35,11105848539,18986.98,596.8,6315.0,winter,afternoon,0.34687585861295717,0.3029465304280558,0.0879811012110327,0.1277826493517916,0.08640596035701369,0.048007900039149065
36,11119569392,23681.83,763.1999999999992,8100.0,winter,morning,0.298073984932448,0.2900960158706969,0.10405353372321241,0.1873507473371229,0.07790634372773109,0.04251937440878885
37,11132594082,18932.31,568.1999999999996,5505.0,winter,afternoon,0.35249282695906897,0.2797568874101012,0.12180359795815514,0.1770267115487177,0.04672705452464421,0.0221929215993129
38,11148265144,23733.33,713.4000000000004,7145.0,winter,afternoon,0.3221874971402691,0.29195850503890824,0.09408054930041435,0.1711572595270568,0.08881379462872085,0.0318023943646306
39,11239721478,22244.12,638.3999999999996,6968.0,winter,morning,0.3011664306953017,0.33388391472531126,0.09902714122258985,0.19001677221557373,0.049628296497073635,0.026277444644149824
40,11283056001,25110.83,167.5999999999999,6206.0,winter,afternoon,0.0957279882575263,0.8083564390054244,0.07603445080573999,0.01079757189692226,0.004296717812080952,0.004786832222306223
41,11297953502,33382.23,140.99999999999955,6760.0,winter,afternoon,0.06974354388868562,0.8744829837702286,0.03633374041460276,0.009717238051695254,0.003195509093200161,0.006526984781587589
42,11309903871,30933.53,153.9999999999996,6586.0,winter,afternoon,0.07766950587381238,0.8645633470870585,0.03859723265988829,0.012308038450038894,0.0042266728643425375,0.0026352030648592664
43,11316347165,32134.61,150.39999999999955,6636.0,winter,afternoon,0.08402551890139515,0.8616933662117958,0.03958359827895819,0.009042316734765384,0.0030355670397069845,0.002619632833378358
44,11332601740,41008.42,240.40000000000072,9201.0,winter,morning,0.11827558562481799,0.7812415401915551,0.08359434865353688,0.010648289836659011,0.0042910052203100945,0.001949230473120967
45,11348712388,39540.68,200.39999999999966,8121.0,winter,afternoon,0.11381328813999278,0.8174482703347383,0.05425978045145196,0.010334926304737577,0.0021760254302425736,0.0019677093388368
46,11362246859,39547.45,220.60000000000005,7555.0,winter,afternoon,0.09446304380706701,0.837549670897517,0.04919047876038019,0.012524820683187157,0.003255563447057809,0.0030164224047906467
47,11396743459,38487.31,221.00000000000085,7904.0,winter,afternoon,0.10599953898833084,0.8169837299047327,0.05620331470714018,0.014225592715102186,0.0038594813759595245,0.002728342308734655
48,11411010590,29075.51,149.6000000000012,5916.0,winter,afternoon,0.10232139856802887,0.8113555377991462,0.06925492751271647,0.01217212429552369,0.0021839326410292787,0.002712079183555553
49,11424633720,25751.08,107.59999999999943,5212.0,winter,afternoon,0.08334971042508349,0.8569637622899784,0.040327903071505744,0.012010940503177499,0.005166765571878845,0.0021809181383759665
50,11428342596,40807.62,298.99999999999926,8220.0,winter,morning,0.1379821556420634,0.7544750953183783,0.07975079117624026,0.02067157128947393,0.004391102767539482,0.00272928380630463
51,11445617100,28478.57,118.00000000000033,5861.0,winter,afternoon,0.07951513094838955,0.8673852996851573,0.036570106943441254,0.009470511407938673,0.003723429539393519,0.003335521475679689
52,11452579770,29838.85,196.1999999999995,6645.0,winter,afternoon,0.11743964924075484,0.7874652245969554,0.06583512284512656,0.01998847687892612,0.005834679334550998,0.0034368471036861467
53,11475962278,41198.41,512.5999999999998,9904.0,winter,morning,0.14789183720333424,0.6951434274779362,0.08718337902658316,0.0532124863239655,0.009837486479132877,0.006731383489048052
54,11492771741,31148.96,210.40000000000038,6633.0,winter,afternoon,0.12241576049983888,0.7935297823170822,0.0681212245024147,0.010178835051076392,0.003719133145354144,0.0020352644842336824
55,11499832413,35506.24,193.5999999999989,7227.0,winter,afternoon,0.09930254985217156,0.8129501555371627,0.05980497094502219,0.020194760086613465,0.00448872753712802,0.003258836041902152
56,11540947034,35078.37,174.39999999999958,6925.0,winter,afternoon,0.10899855748323921,0.8145715808384049,0.05772933078973833,0.01269546866169274,0.003586708160381924,0.0024183540665427216
57,11547927943,30304.6,183.79999999999956,5805.0,winter,afternoon,0.10315159341266007,0.8290155001850825,0.047799481597885614,0.015426816193815961,0.0025743511734218896,0.0020322574371339328
58,11568707889,28475.53,251.1999999999989,5608.0,winter,afternoon,0.13013600488211016,0.7902763845492405,0.05390847068844244,0.018027332412951565,0.004065721808578863,0.0035860856586762886
59,11579221954,26226.46,745.4000000000001,7870.0,winter,morning,0.31222697743497596,0.3121874099598404,0.06460555895585755,0.19638100377582438,0.07136998224695631,0.043229067626545256
60,11596707599,28365.64,228.00000000000074,5876.0,winter,afternoon,0.16216332756796725,0.7335888651476711,0.07943617690785243,0.016158983100175293,0.005269658964635439,0.0033829883116981777
61,11617403739,31574.4,261.20000000000067,6576.0,spring,afternoon,0.15153333430589075,0.7403697692309635,0.07185426268691235,0.026075112329162403,0.006311217892057872,0.003856303555013179
62,11651962259,33927.71,193.80000000000035,6652.0,spring,afternoon,0.10433373402858061,0.8210795121339438,0.05040463473663963,0.017449560849036126,0.004403954052711701,0.0023286041990882387
