calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,temperature
0,0.0,0.0,10,91,438134283,-52893315,0.0,2023-06-09 16:54:14,,,,,,,
0,0.0,0.0,11,91,438134304,-52893289,0.0,2023-06-09 16:54:15,23.0,0.0,65.0,0.0,23.0,0.0,
0,0.0,0.0,12,91,438134325,-52893263,0.0,2023-06-09 16:54:16,23.0,0.0,,0.0,23.0,0.0,24.0
0,0.0,0.0,12,91,438134329,-52893245,0.0,2023-06-09 16:54:17,23.0,0.0,,0.0,23.0,0.0,24.0
0,0.0,0.0,12,89,438134365,-52893241,0.0,2023-06-09 16:54:18,23.0,0.0,,0.0,23.0,0.0,24.0
0,0.0,0.0,11,90,438134374,-52893241,0.0,2023-06-09 16:54:19,23.0,0.0,,0.0,23.0,0.0,24.0
0,0.18,0.718,11,91,438134409,-52893254,0.718,2023-06-09 16:54:20,23.0,0.0,,0.0,23.0,0.0,24.0
0,1.16,1.212,11,91,438134420,-52893380,1.212,2023-06-09 16:54:21,23.0,0.0,,0.0,23.0,0.0,24.0
0,2.92,1.318,10,93,438134490,-52893600,1.318,2023-06-09 16:54:22,23.0,0.0,,0.0,23.0,0.0,24.0
0,5.39,1.756,10,94,438134581,-52893900,1.756,2023-06-09 16:54:23,23.0,0.0,,0.0,23.0,0.0,24.0
0,8.2,2.268,10,95,438134742,-52894234,2.268,2023-06-09 16:54:24,23.0,0.0,,0.0,23.0,0.0,24.0
1,11.23,2.535,10,96,438134922,-52894570,2.535,2023-06-09 16:54:25,23.200000000000045,0.0,,0.0,23.200000000000045,0.0,24.0
1,14.2,2.853,9,96,438135105,-52894878,2.853,2023-06-09 16:54:26,23.200000000000045,0.0,,3.0,23.200000000000045,0.72,24.0
1,17.39,2.936,9,96,438135287,-52895239,2.936,2023-06-09 16:54:27,23.200000000000045,0.0,,5.0,23.200000000000045,1.39,24.0
1,20.41,2.67,9,96,438135433,-52895594,2.67,2023-06-09 16:54:28,23.399999999999977,0.0,,5.0,23.399999999999977,1.65,24.0
1,22.72,2.547,9,96,438135526,-52895888,2.547,2023-06-09 16:54:29,23.399999999999977,0.0,,5.0,23.399999999999977,1.81,24.0
1,25.23,2.568,9,97,438135558,-52896218,2.568,2023-06-09 16:54:30,23.399999999999977,0.0,,5.0,23.399999999999977,1.82,24.0
1,27.4,2.539,9,98,438135558,-52896507,2.539,2023-06-09 16:54:31,23.399999999999977,0.0,,5.0,23.399999999999977,1.81,24.0
1,29.12,2.279,9,98,438135539,-52896734,2.279,2023-06-09 16:54:32,23.399999999999977,0.0,,5.0,23.399999999999977,1.85,24.0
2,30.78,1.97,9,99,438135517,-52896952,1.97,2023-06-09 16:54:33,23.600000000000023,0.0,,5.0,23.600000000000023,1.9,24.0
2,32.94,2.003,9,99,438135548,-52897235,2.003,2023-06-09 16:54:34,23.600000000000023,0.0,,5.0,23.600000000000023,2.02,24.0
2,35.05,2.226,9,99,438135526,-52897502,2.226,2023-06-09 16:54:35,23.600000000000023,0.0,,5.0,23.600000000000023,2.1,24.0
2,37.67,2.308,10,99,438135546,-52897842,2.308,2023-06-09 16:54:36,23.799999999999955,1.0,,5.0,23.799999999999955,2.24,24.0
2,40.11,2.306,10,97,438135558,-52898169,2.306,2023-06-09 16:54:37,23.799999999999955,1.0,,5.0,23.799999999999955,2.33,24.0
2,42.5,2.29,9,96,438135558,-52898487,2.29,2023-06-09 16:54:38,23.799999999999955,1.0,,5.0,23.799999999999955,2.28,24.0
2,44.53,2.084,9,95,438135629,-52898749,2.084,2023-06-09 16:54:39,23.799999999999955,1.0,,5.0,23.799999999999955,2.15,24.0
2,47.34,1.94,9,95,438135829,-52898994,1.94,2023-06-09 16:54:40,23.799999999999955,1.0,,5.0,23.799999999999955,1.96,24.0
2,49.65,1.997,9,95,438136008,-52899204,1.997,2023-06-09 16:54:41,23.799999999999955,1.0,,5.0,23.799999999999955,1.79,24.0
3,52.18,2.253,9,96,438136198,-52899449,2.253,2023-06-09 16:54:42,23.799999999999955,1.0,,5.0,23.799999999999955,1.57,24.0
3,54.72,2.293,9,96,438136349,-52899739,2.293,2023-06-09 16:54:43,24.0,1.0,,5.0,24.0,1.45,24.0
3,57.77,2.286,10,97,438136486,-52900118,2.286,2023-06-09 16:54:44,24.0,1.0,,5.0,24.0,1.4,24.0
3,61.28,2.84,10,97,438136583,-52900565,2.84,2023-06-09 16:54:45,24.0,1.0,,5.0,24.0,1.42,24.0
3,66.86,3.177,9,97,438136676,-52901300,3.177,2023-06-09 16:54:46,24.0,1.0,,5.0,24.0,1.47,24.0
3,70.23,3.3,10,97,438136732,-52901741,3.3,2023-06-09 16:54:47,24.0,1.0,,5.0,24.0,1.47,24.0
3,72.52,3.054,10,98,438136851,-52902001,3.054,2023-06-09 16:54:48,24.200000000000045,1.0,,5.0,24.200000000000045,1.4,24.0
3,74.13,2.803,10,98,438137023,-52902047,2.803,2023-06-09 16:54:49,24.200000000000045,1.0,,5.0,24.200000000000045,1.34,24.0
4,77.18,2.621,10,102,438137313,-52901857,2.621,2023-06-09 16:54:50,24.200000000000045,1.0,,5.0,24.200000000000045,1.27,24.0
4,80.56,2.75,10,103,438137627,-52901670,2.75,2023-06-09 16:54:51,24.399999999999977,1.0,,5.0,24.399999999999977,1.26,24.0
4,84.28,2.999,10,102,438138014,-52901522,2.999,2023-06-09 16:54:52,24.399999999999977,1.0,,5.0,24.399999999999977,1.34,24.0
4,88.1,3.202,9,102,438138423,-52901397,3.202,2023-06-09 16:54:53,24.399999999999977,1.0,,5.0,24.399999999999977,1.41,24.0
4,90.81,3.351,9,102,438138692,-52901278,3.351,2023-06-09 16:54:54,24.600000000000023,1.0,,5.0,24.600000000000023,1.56,24.0
4,93.24,3.17,9,102,438138954,-52901207,3.17,2023-06-09 16:54:55,24.600000000000023,1.0,,5.0,24.600000000000023,1.81,24.0
4,94.94,2.951,9,101,438139123,-52901194,2.951,2023-06-09 16:54:56,24.799999999999955,1.0,,5.0,24.799999999999955,2.07,24.0
4,95.76,2.465,9,101,438139188,-52901225,2.465,2023-06-09 16:54:57,24.799999999999955,2.0,,5.0,24.799999999999955,2.28,24.0
5,96.88,2.007,9,102,438139305,-52901296,2.007,2023-06-09 16:54:58,24.799999999999955,2.0,,5.0,24.799999999999955,2.36,24.0
5,98.88,1.973,9,104,438139511,-52901406,1.973,2023-06-09 16:54:59,24.799999999999955,2.0,,5.0,24.799999999999955,2.37,24.0
5,101.14,2.032,10,105,438139742,-52901455,2.032,2023-06-09 16:55:00,25.0,2.0,,5.0,25.0,2.34,24.0
5,103.41,2.086,11,106,438139973,-52901484,2.086,2023-06-09 16:55:01,25.200000000000045,2.0,,5.0,25.200000000000045,2.38,24.0
5,105.49,2.087,11,108,438140199,-52901522,2.087,2023-06-09 16:55:02,25.200000000000045,2.0,,5.0,25.200000000000045,2.58,24.0
5,107.55,2.082,12,109,438140426,-52901485,2.082,2023-06-09 16:55:03,25.399999999999977,2.0,,5.0,25.399999999999977,2.88,24.0
5,110.12,2.081,13,109,438140690,-52901346,2.081,2023-06-09 16:55:04,25.399999999999977,2.0,,5.0,25.399999999999977,3.24,24.0
6,112.43,2.109,13,108,438140926,-52901327,2.109,2023-06-09 16:55:05,25.600000000000023,2.0,,5.0,25.600000000000023,3.7,24.0
6,113.63,2.137,14,109,438141045,-52901330,2.137,2023-06-09 16:55:06,25.799999999999955,2.0,,5.0,25.799999999999955,4.22,24.0
6,115.01,2.013,14,108,438141211,-52901330,2.013,2023-06-09 16:55:07,25.799999999999955,2.0,,5.0,25.799999999999955,4.66,24.0
6,115.76,1.959,14,107,438141283,-52901349,1.959,2023-06-09 16:55:08,25.799999999999955,3.0,,5.0,25.799999999999955,4.86,24.0
6,116.6,1.962,13,107,438141292,-52901448,1.962,2023-06-09 16:55:09,26.0,3.0,,5.0,26.0,4.81,24.0
6,118.78,2.021,13,107,438141292,-52901738,2.021,2023-06-09 16:55:10,26.0,3.0,,5.0,26.0,4.65,24.0
6,121.58,2.14,13,107,438141365,-52902094,2.14,2023-06-09 16:55:11,26.200000000000045,3.0,,5.0,26.200000000000045,4.49,24.0
7,125.14,2.182,13,107,438141639,-52902405,2.182,2023-06-09 16:55:12,26.200000000000045,3.0,,5.0,26.200000000000045,4.34,24.0
7,128.04,2.227,13,107,438141844,-52902699,2.227,2023-06-09 16:55:13,26.399999999999977,3.0,,5.0,26.399999999999977,4.15,24.0
7,131.04,2.397,12,107,438141994,-52903053,2.397,2023-06-09 16:55:14,26.399999999999977,3.0,,5.0,26.399999999999977,3.91,24.0
7,134.16,2.574,12,108,438142165,-52903421,2.574,2023-06-09 16:55:15,26.399999999999977,3.0,,5.0,26.399999999999977,3.65,24.0
7,137.34,2.722,12,109,438142273,-52903820,2.722,2023-06-09 16:55:16,26.399999999999977,3.0,,5.0,26.399999999999977,3.37,24.0
