battery_soc,calories,distance,enhanced_speed,position_lat,position_long,speed,timestamp,heart_rate,temperature,altitude,ascent,descent,enhanced_altitude,grade,vertical_speed
80.0,0,0.0,0.0,438135512.0,-52896239.0,0.0,2023-04-03 09:42:38,,,,,,,,
80.0,0,0.0,0.0,438135375.0,-52896250.0,0.0,2023-04-03 09:42:39,63.0,20.0,,,,,,
,0,0.0,0.0,438135011.0,-52896273.0,0.0,2023-04-03 09:42:40,66.0,20.0,,,,,,
,0,0.0,0.0,438134966.0,-52896262.0,0.0,2023-04-03 09:42:41,68.0,20.0,,,,,,
,0,0.0,0.0,438134966.0,-52896353.0,0.0,2023-04-03 09:42:42,70.0,20.0,,,,,,
,0,0.0,0.0,438135011.0,-52896449.0,0.0,2023-04-03 09:42:43,73.0,20.0,,,,,,
,0,0.0,0.0,438135057.0,-52896620.0,0.0,2023-04-03 09:42:44,74.0,20.0,,,,,,
,0,0.0,0.0,438134966.0,-52896620.0,0.0,2023-04-03 09:42:45,76.0,20.0,,,,,,
,0,0.0,0.0,438134784.0,-52896546.0,0.0,2023-04-03 09:42:46,80.0,20.0,,,,,,
,0,0.0,0.0,438134602.0,-52896518.0,0.0,2023-04-03 09:42:47,81.0,20.0,,,,,,
,0,0.0,0.0,438134556.0,-52896575.0,0.0,2023-04-03 09:42:48,84.0,20.0,,,,,,
,0,0.0,0.0,438134465.0,-52896836.0,0.0,2023-04-03 09:42:49,87.0,20.0,,,,,,
,0,0.0,0.0,438134511.0,-52897121.0,0.0,2023-04-03 09:42:50,89.0,20.0,,,,,,
,0,0.0,0.0,438134738.0,-52897570.0,0.0,2023-04-03 09:42:51,92.0,20.0,,,,,,
,0,0.0,0.0,438135057.0,-52898111.0,0.0,2023-04-03 09:42:52,95.0,20.0,,,,,,
,0,0.0,0.0,438135193.0,-52898605.0,0.0,2023-04-03 09:42:53,97.0,20.0,,,,,,
,0,0.0,0.0,438135284.0,-52899078.0,0.0,2023-04-03 09:42:54,100.0,20.0,,,,,,
