calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,temperature,altitude,enhanced_altitude,ascent,descent,grade
0,0.0,0.0,36,99,438135558,-52890516,0.0,2023-11-01 08:31:38,,,,,,,
0,0.0,0.0,34,100,438135537,-52890735,0.0,2023-11-01 08:31:39,52.0,,,,,,
0,0.0,0.0,32,101,438135516,-52890954,0.0,2023-11-01 08:31:40,,19.0,,,,,
0,0.0,0.0,31,101,438135549,-52891058,0.0,2023-11-01 08:31:41,,19.0,,,,,
0,0.0,0.0,29,100,438135558,-52891231,0.0,2023-11-01 08:31:42,,19.0,,,,,
0,0.0,0.0,27,96,438135558,-52891285,0.0,2023-11-01 08:31:43,,19.0,,,,,
0,0.0,0.0,26,94,438135594,-52891448,0.0,2023-11-01 08:31:44,,19.0,,,,,
0,0.0,0.0,25,92,438135603,-52891704,0.0,2023-11-01 08:31:45,,19.0,,,,,
0,0.0,0.0,23,91,438135675,-52891844,0.0,2023-11-01 08:31:46,,19.0,,,,,
0,0.0,0.0,22,91,438135731,-52892118,0.0,2023-11-01 08:31:47,,19.0,,,,,
0,0.0,0.0,20,93,438135740,-52892341,0.0,2023-11-01 08:31:48,,19.0,,,,,
1,0.0,0.0,19,94,438135812,-52892557,0.0,2023-11-01 08:31:49,,19.0,,,,,
1,0.0,0.0,18,96,438135795,-52892774,0.0,2023-11-01 08:31:50,,19.0,,,,,
1,0.0,0.0,17,97,438135822,-52892998,0.0,2023-11-01 08:31:51,,19.0,,,,,
1,1.81,1.807,16,98,438135867,-52893278,1.807,2023-11-01 08:31:52,,19.0,,,,,
1,4.48,2.23,15,100,438135949,-52893623,2.23,2023-11-01 08:31:53,,19.0,,,,,
1,7.2,2.407,14,101,438136040,-52893964,2.407,2023-11-01 08:31:54,,19.0,,,,,
1,9.81,2.311,14,102,438136166,-52894283,2.311,2023-11-01 08:31:55,,19.0,,,,,
1,12.46,2.361,13,103,438136231,-52894621,2.361,2023-11-01 08:31:56,,19.0,,,,,
2,15.84,2.451,13,103,438136276,-52895071,2.451,2023-11-01 08:31:57,,19.0,,,,,
2,19.64,2.747,12,104,438136358,-52895563,2.747,2023-11-01 08:31:58,,19.0,,,,,
2,23.29,2.97,12,106,438136486,-52896028,2.97,2023-11-01 08:31:59,,19.0,,,,,
2,26.33,3.102,11,106,438136573,-52896420,3.102,2023-11-01 08:32:00,,19.0,,,,,
2,29.7,3.198,11,105,438136634,-52896861,3.198,2023-11-01 08:32:01,,19.0,,,,,
2,33.43,3.28,10,104,438136685,-52897352,3.28,2023-11-01 08:32:02,,19.0,,,,,
2,37.11,3.365,10,105,438136732,-52897838,3.365,2023-11-01 08:32:03,,19.0,,,,,
2,40.1,3.431,10,105,438136813,-52898229,3.431,2023-11-01 08:32:04,,19.0,,,,,
3,42.75,3.284,9,106,438136868,-52898576,3.284,2023-11-01 08:32:05,,19.0,,,,,
3,44.85,3.122,9,107,438136914,-52898854,3.122,2023-11-01 08:32:06,,19.0,,,,,
3,46.47,2.779,10,107,438136959,-52899066,2.779,2023-11-01 08:32:07,,19.0,,,,,
3,48.29,2.535,10,108,438137041,-52899279,2.535,2023-11-01 08:32:08,,19.0,,,,,
3,50.38,2.426,11,108,438137132,-52899527,2.426,2023-11-01 08:32:09,,19.0,,,,,
3,54.16,2.371,10,106,438137187,-52900023,2.371,2023-11-01 08:32:10,,19.0,,,,,
3,58.65,2.706,10,105,438137304,-52900608,2.706,2023-11-01 08:32:11,,19.0,,,,,
4,62.91,3.072,10,105,438137440,-52901160,3.072,2023-11-01 08:32:12,,19.0,,,,,
4,67.01,3.329,10,106,438137505,-52901696,3.329,2023-11-01 08:32:13,,19.0,,,,,
4,71.13,3.536,10,106,438137585,-52902240,3.536,2023-11-01 08:32:14,,19.0,,,,,
4,74.31,3.699,10,109,438137640,-52902652,3.699,2023-11-01 08:32:15,,19.0,,,,,
4,76.7,3.431,10,109,438137759,-52902948,3.431,2023-11-01 08:32:16,,19.0,,,,,
4,77.71,3.122,11,109,438137824,-52902954,3.122,2023-11-01 08:32:17,,19.0,,,,,
5,79.46,2.871,11,108,438137904,-52902743,2.871,2023-11-01 08:32:18,,19.0,,,,,
5,82.16,2.674,12,108,438138028,-52902425,2.674,2023-11-01 08:32:19,,19.0,,,,,
5,85.49,2.791,12,108,438138303,-52902162,2.791,2023-11-01 08:32:20,,19.0,,,,,
5,88.23,2.962,11,108,438138587,-52902031,2.962,2023-11-01 08:32:21,,19.0,,,,,
5,89.68,2.708,11,109,438138722,-52901946,2.708,2023-11-01 08:32:22,,19.0,,,,,
5,91.09,2.409,11,108,438138847,-52901898,2.409,2023-11-01 08:32:23,,19.0,,,,,
5,92.63,2.191,12,110,438139019,-52901931,2.191,2023-11-01 08:32:24,,19.0,,,,,
6,93.77,2.032,13,110,438139131,-52901902,2.032,2023-11-01 08:32:25,,19.0,,,,,
6,94.94,1.846,18,110,438139153,-52901767,1.846,2023-11-01 08:32:26,,19.0,,,,,
6,96.71,1.686,19,111,438139118,-52901534,1.686,2023-11-01 08:32:27,,19.0,,,,,
6,99.44,1.898,19,110,438139073,-52901172,1.898,2023-11-01 08:32:28,,19.0,,,,,
6,103.73,3.263,18,111,438138924,-52900635,3.263,2023-11-01 08:32:29,,19.0,,,,,
6,107.02,3.675,18,111,438138880,-52900209,3.675,2023-11-01 08:32:30,,19.0,,,,,
6,109.38,2.781,18,111,438139018,-52899998,2.781,2023-11-01 08:32:31,,19.0,,,,,
7,111.7,2.451,17,112,438139244,-52899928,2.451,2023-11-01 08:32:32,,19.0,,,,,
7,113.56,2.316,17,112,438139431,-52899840,2.316,2023-11-01 08:32:33,,19.0,,,,,
7,116.04,2.19,16,112,438139682,-52899743,2.19,2023-11-01 08:32:34,,19.0,,,,,
7,118.78,2.28,16,113,438139987,-52899734,2.28,2023-11-01 08:32:35,,19.0,,,,,
7,121.66,2.418,15,114,438140237,-52899907,2.418,2023-11-01 08:32:36,,19.0,,,,,
7,123.87,2.525,15,114,438140429,-52900094,2.525,2023-11-01 08:32:37,,19.0,23.0,23.0,,,
8,127.36,2.606,14,114,438140577,-52900519,2.606,2023-11-01 08:32:38,,19.0,22.799999999999955,22.799999999999955,,,
8,133.02,3.046,14,114,438141024,-52901013,3.046,2023-11-01 08:32:39,,19.0,22.799999999999955,22.799999999999955,0.0,0.0,0.0
8,137.78,3.514,13,114,438141338,-52901483,3.514,2023-11-01 08:32:40,,19.0,22.799999999999955,22.799999999999955,0.0,0.0,0.0
8,141.56,3.618,13,113,438141529,-52901934,3.618,2023-11-01 08:32:41,,19.0,23.0,23.0,0.0,0.0,0.0
8,145.09,3.599,14,113,438141673,-52902370,3.599,2023-11-01 08:32:42,,19.0,23.0,23.0,0.0,0.0,0.0
8,148.7,3.589,14,114,438141849,-52902804,3.589,2023-11-01 08:32:43,,19.0,23.0,23.0,0.0,0.0,0.0
9,151.35,3.586,14,113,438141995,-52903092,3.586,2023-11-01 08:32:44,,19.0,23.0,23.0,0.0,0.0,0.0
9,154.67,3.609,15,113,438142157,-52903486,3.609,2023-11-01 08:32:45,,19.0,23.0,23.0,0.0,0.0,0.0
9,158.96,3.635,14,113,438142347,-52904007,3.635,2023-11-01 08:32:46,,19.0,23.0,23.0,0.0,0.0,0.0
9,163.42,3.802,14,113,438142606,-52904518,3.802,2023-11-01 08:32:47,,19.0,23.0,23.0,0.0,0.0,0.0
9,168.83,3.962,14,114,438142880,-52905165,3.962,2023-11-01 08:32:48,,19.0,23.0,23.0,0.0,0.0,0.0
9,172.92,4.081,14,116,438143078,-52905646,4.081,2023-11-01 08:32:49,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
9,175.8,3.814,16,116,438143261,-52905969,3.814,2023-11-01 08:32:50,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
10,178.75,3.599,16,116,438143442,-52906263,3.599,2023-11-01 08:32:51,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
10,181.96,3.499,16,115,438143661,-52906596,3.499,2023-11-01 08:32:52,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
10,184.36,3.436,16,115,438143889,-52906791,3.436,2023-11-01 08:32:53,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
10,186.65,3.113,16,117,438143969,-52907061,3.113,2023-11-01 08:32:54,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
10,192.4,2.77,16,118,438143977,-52907829,2.77,2023-11-01 08:32:55,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
10,196.82,3.203,16,117,438144014,-52908415,3.203,2023-11-01 08:32:56,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
11,200.64,3.536,15,116,438144097,-52908911,3.536,2023-11-01 08:32:57,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
11,203.37,3.698,15,115,438144298,-52909185,3.698,2023-11-01 08:32:58,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
11,205.68,3.118,14,116,438144526,-52909176,3.118,2023-11-01 08:32:59,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
11,207.71,2.652,14,116,438144717,-52909280,2.652,2023-11-01 08:33:00,,19.0,23.200000000000045,23.200000000000045,0.0,0.0,0.0
11,210.1,2.414,14,117,438144862,-52909547,2.414,2023-11-01 08:33:01,,19.0,23.399999999999977,23.399999999999977,0.0,0.0,0.0
11,213.63,2.748,13,116,438144924,-52910002,2.748,2023-11-01 08:33:02,,19.0,23.399999999999977,23.399999999999977,0.0,0.0,0.0
12,217.47,3.108,13,116,438145007,-52910504,3.108,2023-11-01 08:33:03,,19.0,23.399999999999977,23.399999999999977,0.0,0.0,0.0
12,221.03,3.239,13,116,438145098,-52910967,3.239,2023-11-01 08:33:04,,19.0,23.399999999999977,23.399999999999977,0.0,0.0,0.0
12,224.53,3.318,13,116,438145152,-52911430,3.318,2023-11-01 08:33:05,,19.0,23.399999999999977,23.399999999999977,0.0,0.0,0.0
12,228.43,3.497,12,117,438145272,-52911938,3.497,2023-11-01 08:33:06,,19.0,23.399999999999977,23.399999999999977,0.0,0.0,0.4
12,233.48,3.641,12,114,438145482,-52912544,3.641,2023-11-01 08:33:07,,19.0,23.600000000000023,23.600000000000023,0.0,0.0,1.07
12,239.22,4.106,12,113,438145820,-52913199,4.106,2023-11-01 08:33:08,,19.0,23.600000000000023,23.600000000000023,0.0,0.0,1.08
13,243.44,4.538,12,113,438146111,-52913629,4.538,2023-11-01 08:33:09,,19.0,23.600000000000023,23.600000000000023,0.0,0.0,1.05
13,246.34,4.454,12,111,438146273,-52913944,4.454,2023-11-01 08:33:10,,19.0,23.600000000000023,23.600000000000023,0.0,0.0,1.03
13,249.37,4.299,13,111,438146410,-52914320,4.299,2023-11-01 08:33:11,,19.0,23.600000000000023,23.600000000000023,0.0,0.0,0.62
13,252.56,4.054,13,110,438146472,-52914734,4.054,2023-11-01 08:33:12,,19.0,23.799999999999955,23.799999999999955,0.0,0.0,0.0
13,255.83,3.86,14,110,438146517,-52915168,3.86,2023-11-01 08:33:13,,19.0,23.799999999999955,23.799999999999955,0.0,0.0,0.0
13,259.33,3.772,14,111,438146562,-52915635,3.772,2023-11-01 08:33:14,,19.0,23.799999999999955,23.799999999999955,0.0,0.0,0.0
14,263.06,3.761,14,110,438146534,-52916130,3.761,2023-11-01 08:33:15,,19.0,23.799999999999955,23.799999999999955,0.0,0.0,0.0
14,267.4,3.763,14,109,438146489,-52916709,3.763,2023-11-01 08:33:16,,19.0,23.799999999999955,23.799999999999955,0.0,0.0,0.0
14,272.48,4.06,14,106,438146591,-52917370,4.06,2023-11-01 08:33:17,,19.0,23.799999999999955,23.799999999999955,0.0,0.0,0.0
14,278.11,4.452,14,102,438146801,-52918079,4.452,2023-11-01 08:33:18,,19.0,24.0,24.0,0.0,0.0,0.0
14,283.04,4.77,13,102,438147030,-52918664,4.77,2023-11-01 08:33:19,,19.0,24.0,24.0,0.0,0.0,0.0
14,287.55,4.751,13,104,438147368,-52919090,4.751,2023-11-01 08:33:20,,19.0,24.200000000000045,24.200000000000045,0.0,0.0,0.41
14,291.46,4.613,12,104,438147767,-52919069,4.613,2023-11-01 08:33:21,,19.0,24.200000000000045,24.200000000000045,0.0,0.0,1.19
15,295.89,4.579,12,107,438148177,-52918756,4.579,2023-11-01 08:33:22,,19.0,24.399999999999977,24.399999999999977,0.0,0.0,1.44
15,299.9,4.575,12,108,438148589,-52918576,4.575,2023-11-01 08:33:23,,19.0,24.600000000000023,24.600000000000023,1.0,0.0,1.67
15,303.46,4.063,12,109,438148961,-52918532,4.063,2023-11-01 08:33:24,,19.0,24.600000000000023,24.600000000000023,1.0,0.0,1.87
15,306.29,3.729,11,111,438149177,-52918306,3.729,2023-11-01 08:33:25,,19.0,24.799999999999955,24.799999999999955,1.0,0.0,2.02
15,309.14,3.374,11,111,438149359,-52918010,3.374,2023-11-01 08:33:26,,19.0,25.0,25.0,1.0,0.0,2.13
