distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,calories,heart_rate,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,temperature
0.0,3.616,13.0,438134238.0,-52902884.0,3.616,2023-12-05 15:07:23,,,,,,,,,
2.61,3.444,13.0,438133957.0,-52902889.0,3.444,2023-12-05 15:07:24,0.0,92.0,,,,,,,
5.23,3.272,13.0,438133677.0,-52902895.0,3.272,2023-12-05 15:07:25,0.0,92.0,19.200000000000045,0.0,94.0,0.0,19.200000000000045,-1.51,
7.84,3.1,13.0,438133397.0,-52902900.0,3.1,2023-12-05 15:07:26,0.0,92.0,19.0,0.0,,0.0,19.0,-1.84,17.0
11.6,3.008,13.0,438133029.0,-52902976.0,3.008,2023-12-05 15:07:27,0.0,92.0,19.0,0.0,,0.0,19.0,-2.19,17.0
17.88,3.42,13.0,438132361.0,-52903131.0,3.42,2023-12-05 15:07:28,0.0,92.0,18.799999999999955,0.0,,0.0,18.799999999999955,-2.51,17.0
20.76,3.755,12.0,438132068.0,-52903237.0,3.755,2023-12-05 15:07:29,0.0,92.0,18.600000000000023,0.0,,0.0,18.600000000000023,-2.81,17.0
21.46,3.536,12.0,438132053.0,-52903316.0,3.536,2023-12-05 15:07:30,0.0,93.0,18.600000000000023,0.0,,1.0,18.600000000000023,-3.06,17.0
21.87,3.341,12.0,438132096.0,-52903338.0,3.341,2023-12-05 15:07:31,0.0,95.0,18.399999999999977,0.0,,1.0,18.399999999999977,-3.26,17.0
23.2,2.874,13.0,438131971.0,-52903211.0,2.874,2023-12-05 15:07:32,0.0,95.0,18.200000000000045,0.0,,1.0,18.200000000000045,-3.43,17.0
28.87,2.503,12.0,438131366.0,-52903106.0,2.503,2023-12-05 15:07:33,0.0,96.0,18.0,0.0,,1.0,18.0,-3.61,17.0
36.87,2.693,12.0,438130558.0,-52903398.0,2.693,2023-12-05 15:07:34,1.0,97.0,17.799999999999955,0.0,,1.0,17.799999999999955,-3.78,17.0
42.99,2.947,11.0,438129953.0,-52903642.0,2.947,2023-12-05 15:07:35,1.0,97.0,17.600000000000023,0.0,,1.0,17.600000000000023,-4.04,17.0
60.82,3.469,11.0,438128003.0,-52903694.0,3.469,2023-12-05 15:07:36,1.0,97.0,17.399999999999977,0.0,,2.0,17.399999999999977,-4.45,17.0
69.5,4.915,11.0,438127104.0,-52903787.0,4.915,2023-12-05 15:07:37,1.0,97.0,17.200000000000045,0.0,,2.0,17.200000000000045,-4.94,17.0
