calories,heart_rate,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade
0,67,2023-04-06 16:56:09,,,,,,,,,,,,,
0,67,2023-04-06 16:56:10,69.0,0.0,0.0,18.0,438132736.0,-52892501.0,0.0,18.0,,,,,
0,69,2023-04-06 16:56:11,,0.0,0.0,20.0,438132736.0,-52892501.0,0.0,18.0,,,,,
0,72,2023-04-06 16:56:12,,0.0,0.0,23.0,438132736.0,-52892501.0,0.0,18.0,,,,,
0,74,2023-04-06 16:56:13,,0.0,0.0,22.0,438132736.0,-52892501.0,0.0,18.0,,,,,
0,79,2023-04-06 16:56:14,,0.0,0.0,21.0,438132736.0,-52892499.0,0.0,18.0,,,,,
0,83,2023-04-06 16:56:15,,0.0,0.0,20.0,438132736.0,-52892498.0,0.0,18.0,,,,,
0,83,2023-04-06 16:56:16,,0.0,0.0,19.0,438132729.0,-52892600.0,0.0,18.0,,,,,
0,83,2023-04-06 16:56:17,,0.0,0.0,19.0,438132690.0,-52892716.0,0.0,18.0,,,,,
0,83,2023-04-06 16:56:18,,0.0,0.0,18.0,438132720.0,-52892800.0,0.0,18.0,,,,,
0,83,2023-04-06 16:56:19,,0.0,0.0,17.0,438132895.0,-52892916.0,0.0,18.0,,,,,
0,83,2023-04-06 16:56:20,,0.18,0.201,17.0,438133017.0,-52893025.0,0.201,18.0,,,,,
0,83,2023-04-06 16:56:21,,1.29,1.27,16.0,438133061.0,-52893167.0,1.27,18.0,,,,,
0,83,2023-04-06 16:56:22,,3.22,1.659,16.0,438133143.0,-52893381.0,1.659,18.0,,,,,
0,83,2023-04-06 16:56:23,,6.35,1.92,15.0,438133365.0,-52893676.0,1.92,18.0,,,,,
1,83,2023-04-06 16:56:24,,8.72,1.959,14.0,438133341.0,-52893986.0,1.959,18.0,,,,,
1,90,2023-04-06 16:56:25,,11.47,2.083,14.0,438133439.0,-52894327.0,2.083,18.0,,,,,
1,93,2023-04-06 16:56:26,,14.67,2.191,14.0,438133595.0,-52894712.0,2.191,18.0,,,,,
1,93,2023-04-06 16:56:27,,18.41,2.873,14.0,438133852.0,-52895120.0,2.873,18.0,,,,,
1,92,2023-04-06 16:56:28,,22.06,3.203,14.0,438134037.0,-52895547.0,3.203,18.0,,,,,
1,93,2023-04-06 16:56:29,,25.91,3.242,14.0,438134221.0,-52895999.0,3.242,18.0,,,,,
1,93,2023-04-06 16:56:30,,30.04,3.453,13.0,438134411.0,-52896494.0,3.453,18.0,,,,,
1,96,2023-04-06 16:56:31,,33.97,3.485,14.0,438134619.0,-52896962.0,3.485,18.0,,,,,
1,95,2023-04-06 16:56:32,,37.45,3.608,15.0,438134707.0,-52897406.0,3.608,18.0,,,,,
2,96,2023-04-06 16:56:33,,41.08,3.611,15.0,438134807.0,-52897870.0,3.611,18.0,,,,,
2,98,2023-04-06 16:56:34,,44.76,3.631,15.0,438134950.0,-52898326.0,3.631,18.0,,,,,
2,97,2023-04-06 16:56:35,,48.7,3.739,15.0,438135128.0,-52898806.0,3.739,18.0,,,,,
2,97,2023-04-06 16:56:36,,52.16,3.811,14.0,438135262.0,-52899246.0,3.811,18.0,,,,,
2,96,2023-04-06 16:56:37,,56.05,3.828,14.0,438135391.0,-52899742.0,3.828,18.0,,,,,
