cadence,calories,heart_rate,power,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade
0,0,96,0,2024-02-13 15:08:15,,,,,,,,,,,,,,
0,0,97,0,2024-02-13 15:08:16,82.0,,,,,,,,,,,,,
0,0,97,0,2024-02-13 15:08:17,,0.0,0.0,36.0,438132417.0,-52891307.0,0.0,,,,,,,
0,0,96,0,2024-02-13 15:08:18,,0.0,0.0,36.0,438132234.0,-52891607.0,0.0,19.0,,,,,,
0,0,95,0,2024-02-13 15:08:19,,0.0,0.0,36.0,438132195.0,-52891584.0,0.0,19.0,,,,,,
0,0,93,0,2024-02-13 15:08:20,,0.0,0.0,34.0,438132281.0,-52891564.0,0.0,19.0,,,,,,
0,0,92,0,2024-02-13 15:08:21,,0.0,0.0,33.0,438132276.0,-52891482.0,0.0,19.0,,,,,,
0,0,92,0,2024-02-13 15:08:22,,0.0,0.0,32.0,438132184.0,-52891362.0,0.0,19.0,,,,,,
0,0,93,0,2024-02-13 15:08:23,,0.0,0.0,31.0,438132099.0,-52891245.0,0.0,19.0,,,,,,
0,0,95,0,2024-02-13 15:08:24,,0.0,0.0,31.0,438132090.0,-52891144.0,0.0,19.0,,,,,,
0,0,98,0,2024-02-13 15:08:25,,0.0,0.0,30.0,438131953.0,-52891004.0,0.0,19.0,,,,,,
74,0,95,7,2024-02-13 15:08:26,,0.0,0.0,30.0,438131780.0,-52890883.0,0.0,19.0,190.0,,,,,
68,0,96,19,2024-02-13 15:08:27,,0.0,0.0,28.0,438131793.0,-52890663.0,0.0,19.0,178.0,,,,,
70,0,97,45,2024-02-13 15:08:28,,0.0,0.0,26.0,438132008.0,-52890431.0,0.0,19.0,170.0,,,,,
82,0,96,103,2024-02-13 15:08:29,,0.0,0.0,24.0,438132013.0,-52890073.0,0.0,19.0,164.0,,,,,
73,0,96,100,2024-02-13 15:08:30,,0.0,0.0,22.0,438132099.0,-52889654.0,0.0,19.0,171.0,,,,,
82,0,95,90,2024-02-13 15:08:31,,0.22,0.182,21.0,438132099.0,-52889132.0,0.182,19.0,168.0,,,,,
82,0,96,86,2024-02-13 15:08:32,,3.61,2.816,28.0,438132110.0,-52888688.0,2.816,19.0,168.0,,,,,
0,0,97,0,2024-02-13 15:08:33,,7.52,3.048,26.0,438132304.0,-52888283.0,3.048,19.0,170.0,,,,,
82,0,99,47,2024-02-13 15:08:34,,13.67,3.248,24.0,438131934.0,-52887603.0,3.248,19.0,173.0,,,,,
81,0,101,80,2024-02-13 15:08:35,,19.11,3.814,23.0,438131496.0,-52887152.0,3.814,19.0,160.0,,,,,
90,0,102,71,2024-02-13 15:08:36,,24.04,4.258,22.0,438131179.0,-52886629.0,4.258,19.0,171.0,,,,,
77,0,102,64,2024-02-13 15:08:37,,28.66,4.267,22.0,438131002.0,-52886057.0,4.267,18.0,181.0,,,,,
78,0,102,60,2024-02-13 15:08:38,,31.67,4.4,22.0,438130913.0,-52885661.0,4.4,18.0,164.0,,,,,
78,0,102,56,2024-02-13 15:08:39,,34.76,4.053,21.0,438130865.0,-52885253.0,4.053,18.0,164.0,,,,,
0,0,102,0,2024-02-13 15:08:40,,39.01,3.821,21.0,438130772.0,-52884706.0,3.821,18.0,166.0,,,,,
0,0,102,0,2024-02-13 15:08:41,,44.9,4.124,20.0,438130642.0,-52883935.0,4.124,18.0,168.0,,,,,
0,0,102,0,2024-02-13 15:08:42,,50.13,4.401,19.0,438130642.0,-52883233.0,4.401,18.0,170.0,,,,,
0,0,102,0,2024-02-13 15:08:43,,55.59,4.689,18.0,438130631.0,-52882509.0,4.689,18.0,172.0,,,,,
78,0,102,67,2024-02-13 15:08:44,,59.63,4.884,18.0,438130438.0,-52882035.0,4.884,18.0,174.0,,,,,
84,1,102,117,2024-02-13 15:08:45,,63.91,4.717,17.0,438130009.0,-52881866.0,4.717,18.0,182.0,,,,,
90,1,102,155,2024-02-13 15:08:46,,70.06,4.951,19.0,438129341.0,-52881905.0,4.951,18.0,168.0,,,,,
90,1,102,196,2024-02-13 15:08:47,,74.62,5.405,19.0,438128830.0,-52881944.0,5.405,18.0,168.0,,,,,
0,1,102,0,2024-02-13 15:08:48,,80.59,5.541,18.0,438128187.0,-52881971.0,5.541,18.0,173.0,,,,,
0,1,102,0,2024-02-13 15:08:49,,88.07,5.794,17.0,438127385.0,-52882068.0,5.794,18.0,178.0,,,,,
0,1,102,0,2024-02-13 15:08:50,,93.2,5.944,21.0,438126876.0,-52882187.0,5.944,18.0,183.0,,,,,
0,1,102,0,2024-02-13 15:08:51,,99.14,5.944,21.0,438126241.0,-52882287.0,5.944,18.0,189.0,,,,,
94,1,102,27,2024-02-13 15:08:52,,105.48,5.923,20.0,438125555.0,-52882343.0,5.923,18.0,194.0,,,,,
82,1,102,64,2024-02-13 15:08:53,,111.73,5.539,19.0,438124878.0,-52882385.0,5.539,18.0,194.0,,,,,
79,1,102,91,2024-02-13 15:08:54,,118.21,5.791,19.0,438124199.0,-52882488.0,5.791,18.0,172.0,,,,,
81,1,102,102,2024-02-13 15:08:55,,124.61,5.908,20.0,438123509.0,-52882608.0,5.908,18.0,174.0,,,,,
84,1,102,93,2024-02-13 15:08:56,,131.19,5.91,19.0,438122779.0,-52882722.0,5.91,18.0,155.0,,,,,
82,1,102,84,2024-02-13 15:08:57,,137.91,5.944,19.0,438122090.0,-52882704.0,5.944,18.0,175.0,,,,,
85,2,102,82,2024-02-13 15:08:58,,145.49,5.953,18.0,438121322.0,-52882363.0,5.953,18.0,173.0,,,,,
87,2,102,77,2024-02-13 15:08:59,,152.93,6.168,17.0,438120546.0,-52881993.0,6.168,18.0,174.0,,,,,
87,2,102,69,2024-02-13 15:09:00,,161.1,6.941,17.0,438119725.0,-52881737.0,6.941,18.0,174.0,,,,,
0,2,102,0,2024-02-13 15:09:01,,169.3,7.056,16.0,438118820.0,-52881582.0,7.056,18.0,,,,,,
0,2,102,0,2024-02-13 15:09:02,,177.24,7.04,16.0,438118002.0,-52881527.0,7.04,18.0,,,,,,
0,2,102,0,2024-02-13 15:09:03,,183.83,6.675,17.0,438117281.0,-52881530.0,6.675,18.0,,,,,,
0,2,102,0,2024-02-13 15:09:04,,189.15,5.686,20.0,438116697.0,-52881588.0,5.686,18.0,,,,,,
