calories,heart_rate,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,temperature
0,107,2023-11-12 08:55:49,,,,,,,,,,,,,
0,108,2023-11-12 08:55:50,,,,,,,,,,,,,
0,108,2023-11-12 08:55:51,,,,,,,,,,,,,
0,108,2023-11-12 08:55:52,-6.199999999999989,0.0,88.0,0.0,0.0,-6.199999999999989,0.0,14.0,0.0,438134329.0,-52892103.0,0.0,
0,109,2023-11-12 08:55:53,-6.199999999999989,0.0,,0.0,0.0,-6.199999999999989,0.0,13.0,0.0,438134406.0,-52892012.0,0.0,
0,109,2023-11-12 08:55:54,-6.199999999999989,0.0,,0.0,0.0,-6.199999999999989,0.0,13.0,0.0,438134452.0,-52892011.0,0.0,21.0
0,109,2023-11-12 08:55:55,-6.0,0.0,,0.0,0.0,-6.0,0.0,13.0,0.0,438134465.0,-52891977.0,0.0,21.0
0,107,2023-11-12 08:55:56,-6.0,0.0,,0.0,0.0,-6.0,0.0,12.0,0.0,438134499.0,-52891979.0,0.0,21.0
1,103,2023-11-12 08:55:57,-6.0,0.0,,0.0,0.0,-6.0,0.0,12.0,0.0,438134579.0,-52891954.0,0.0,21.0
1,100,2023-11-12 08:55:58,-6.0,0.0,,0.0,0.0,-6.0,0.0,11.0,0.0,438134670.0,-52892033.0,0.0,21.0
1,98,2023-11-12 08:55:59,-6.0,0.0,,0.0,0.0,-6.0,0.0,11.0,0.0,438134625.0,-52892110.0,0.0,21.0
1,98,2023-11-12 08:56:00,-6.0,0.0,,0.0,0.0,-6.0,0.0,11.0,0.0,438134536.0,-52892109.0,0.0,21.0
1,101,2023-11-12 08:56:01,-6.199999999999989,0.0,,0.0,0.35,-6.199999999999989,0.583,10.0,0.0,438134478.0,-52892062.0,0.583,21.0
1,100,2023-11-12 08:56:02,-6.199999999999989,0.0,,0.0,1.07,-6.199999999999989,1.081,10.0,0.0,438134531.0,-52891989.0,1.081,21.0
1,102,2023-11-12 08:56:03,-6.199999999999989,0.0,,0.0,1.85,-6.199999999999989,1.186,10.0,0.0,438134556.0,-52891893.0,1.186,21.0
1,104,2023-11-12 08:56:04,-6.199999999999989,0.0,,0.0,2.62,-6.199999999999989,0.867,11.0,0.0,438134556.0,-52891795.0,0.867,21.0
2,105,2023-11-12 08:56:05,-6.199999999999989,0.0,,0.0,3.28,-6.199999999999989,0.668,13.0,0.0,438134556.0,-52891710.0,0.668,21.0
2,106,2023-11-12 08:56:06,-6.199999999999989,0.0,,0.0,3.89,-6.199999999999989,0.639,13.0,0.0,438134556.0,-52891629.0,0.639,21.0
2,106,2023-11-12 08:56:07,-6.199999999999989,0.0,,0.0,4.81,-6.199999999999989,0.639,13.0,0.0,438134523.0,-52891522.0,0.639,21.0
2,107,2023-11-12 08:56:08,-6.199999999999989,0.0,,0.0,5.79,-6.199999999999989,0.639,13.0,0.0,438134478.0,-52891403.0,0.639,21.0
2,108,2023-11-12 08:56:09,-6.399999999999977,0.0,,0.0,6.67,-6.399999999999977,0.72,13.0,0.0,438134465.0,-52891288.0,0.72,21.0
2,109,2023-11-12 08:56:10,-6.399999999999977,0.0,,1.0,8.37,-6.399999999999977,1.075,13.0,-1.48,438134433.0,-52891067.0,1.075,21.0
2,110,2023-11-12 08:56:11,-6.399999999999977,0.0,,2.0,11.94,-6.399999999999977,1.381,13.0,-0.53,438134319.0,-52890613.0,1.381,21.0
3,110,2023-11-12 08:56:12,-6.600000000000023,0.0,,2.0,15.95,-6.600000000000023,2.001,13.0,0.0,438134148.0,-52890121.0,2.001,21.0
3,110,2023-11-12 08:56:13,-6.600000000000023,0.0,,2.0,19.92,-6.600000000000023,2.756,13.0,0.0,438133965.0,-52889640.0,2.756,21.0
3,109,2023-11-12 08:56:14,-6.600000000000023,0.0,,2.0,23.01,-6.600000000000023,2.84,14.0,0.0,438133783.0,-52889305.0,2.84,21.0
3,106,2023-11-12 08:56:15,-6.800000000000011,0.0,,2.0,25.8,-6.800000000000011,2.701,16.0,0.0,438133601.0,-52889018.0,2.701,21.0
