battery_soc,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,temperature,altitude,ascent,descent,enhanced_altitude,grade
88.0,0,1.57,10.264,17,102,438138936,-52905212,10.264,2023-05-31 17:58:53,,,,,,
,0,3.56,9.637,17,103,438139121,-52905079,9.637,2023-05-31 17:58:54,,,,,,
,0,7.86,8.796,17,104,438139515,-52904734,8.796,2023-05-31 17:58:55,,,,,,
,0,12.02,7.742,16,105,438139863,-52904434,7.742,2023-05-31 17:58:56,,,,,,
,0,15.85,6.8,16,106,438140213,-52904159,6.8,2023-05-31 17:58:57,22.0,,,,,
,0,17.91,6.149,17,107,438140338,-52903939,6.149,2023-05-31 17:58:58,22.0,,,,,
,0,21.96,5.611,17,108,438140751,-52903842,5.611,2023-05-31 17:58:59,22.0,,,,,
,0,25.55,5.14,18,110,438141109,-52903899,5.14,2023-05-31 17:59:00,22.0,,,,,
,1,28.36,4.762,19,111,438141427,-52903905,4.762,2023-05-31 17:59:01,22.0,,,,,
,1,31.3,4.305,22,112,438141739,-52903853,4.305,2023-05-31 17:59:02,22.0,,,,,
,1,33.95,3.892,25,114,438142019,-52903828,3.892,2023-05-31 17:59:03,22.0,,,,,
,1,37.02,3.662,28,115,438142330,-52903744,3.662,2023-05-31 17:59:04,22.0,,,,,
,1,40.64,3.489,27,116,438142595,-52903393,3.489,2023-05-31 17:59:05,22.0,,,,,
,1,43.46,3.323,27,116,438142854,-52903150,3.323,2023-05-31 17:59:06,22.0,,,,,
,2,46.04,3.133,27,117,438142964,-52902863,3.133,2023-05-31 17:59:07,22.0,,,,,
,2,48.47,2.906,27,117,438142866,-52902560,2.906,2023-05-31 17:59:08,22.0,,,,,
,2,52.06,2.797,26,118,438142765,-52902120,2.797,2023-05-31 17:59:09,22.0,,,,,
,2,55.93,3.126,24,118,438142880,-52901669,3.126,2023-05-31 17:59:10,22.0,,,,,
,2,57.53,3.317,23,118,438142870,-52901850,3.317,2023-05-31 17:59:11,22.0,,,,,
,2,59.63,3.02,22,116,438143118,-52901854,3.02,2023-05-31 17:59:12,22.0,,,,,
,3,63.42,2.868,21,116,438143482,-52901711,2.868,2023-05-31 17:59:13,22.0,,,,,
,3,68.16,3.175,20,115,438143814,-52901270,3.175,2023-05-31 17:59:14,22.0,,,,,
