battery_soc,calories,distance,enhanced_speed,position_lat,position_long,speed,timestamp,heart_rate,temperature,altitude,ascent,descent,enhanced_altitude,grade,vertical_speed
78.0,0,0.0,1.519,438134966.0,-52893895.0,1.519,2023-10-25 16:19:00,,,,,,,,
78.0,0,1.71,1.5,438134920.0,-52894111.0,1.5,2023-10-25 16:19:01,99.0,,,,,,,
,0,4.76,1.492,438134875.0,-52894509.0,1.492,2023-10-25 16:19:02,99.0,,,,,,,
,0,9.96,1.63,438135057.0,-52895152.0,1.63,2023-10-25 16:19:03,100.0,22.0,,,,,,
,0,14.08,2.352,438135284.0,-52895619.0,2.352,2023-10-25 16:19:04,100.0,22.0,,,,,,
,0,18.39,2.777,438135512.0,-52896125.0,2.777,2023-10-25 16:19:05,100.0,22.0,,,,,,
,0,22.49,3.08,438135740.0,-52896592.0,3.08,2023-10-25 16:19:06,101.0,22.0,,,,,,
,0,27.35,3.339,438135740.0,-52897217.0,3.339,2023-10-25 16:19:07,101.0,22.0,,,,,,
,0,31.45,3.479,438135740.0,-52897764.0,3.479,2023-10-25 16:19:08,102.0,22.0,,,,,,
,0,35.63,3.663,438135740.0,-52898315.0,3.663,2023-10-25 16:19:09,102.0,22.0,,,,,,
,0,40.02,3.839,438135831.0,-52898901.0,3.839,2023-10-25 16:19:10,102.0,22.0,,,,,,
,0,43.91,3.978,438135876.0,-52899413.0,3.978,2023-10-25 16:19:11,101.0,22.0,,,,,,
,0,46.44,3.677,438135967.0,-52899715.0,3.677,2023-10-25 16:19:12,101.0,22.0,,,,,,
,0,49.84,3.36,438136104.0,-52900130.0,3.36,2023-10-25 16:19:13,101.0,22.0,,,,,,
,0,52.69,3.159,438136195.0,-52900494.0,3.159,2023-10-25 16:19:14,102.0,22.0,,,,,,
,0,56.16,3.025,438136149.0,-52900949.0,3.025,2023-10-25 16:19:15,102.0,22.0,,,,,,
,0,59.24,2.984,438136195.0,-52901353.0,2.984,2023-10-25 16:19:16,103.0,22.0,,,,,,
