calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,temperature,altitude,enhanced_altitude,ascent,descent,grade
0,0.0,3.296,10,106,438132554,-52885123,3.296,2023-12-02 08:08:53,,,,,,,
0,3.57,3.393,11,106,438132467,-52884659,3.393,2023-12-02 08:08:54,,,,,,,
0,7.15,3.491,12,106,438132379,-52884196,3.491,2023-12-02 08:08:55,78.0,15.0,,,,,
0,10.72,3.588,13,105,438132292,-52883732,3.588,2023-12-02 08:08:56,,15.0,,,,,
0,14.88,3.836,13,104,438132083,-52883241,3.836,2023-12-02 08:08:57,,15.0,,,,,
0,19.49,4.108,13,101,438131816,-52882713,4.108,2023-12-02 08:08:58,,15.0,,,,,
0,26.32,4.273,12,98,438131544,-52881865,4.273,2023-12-02 08:08:59,,15.0,,,,,
0,29.5,4.407,12,99,438131351,-52881539,4.407,2023-12-02 08:09:00,,15.0,,,,,
0,31.52,3.91,11,98,438131247,-52881300,3.91,2023-12-02 08:09:01,,15.0,,,,,
1,32.71,3.501,11,97,438131273,-52881148,3.501,2023-12-02 08:09:02,,15.0,,,,,
1,32.86,0.476,11,98,438131319,-52881075,0.476,2023-12-02 08:09:03,,15.0,39.60000000000002,39.60000000000002,,,
1,32.86,0.0,11,99,438131364,-52881067,0.0,2023-12-02 08:09:04,,15.0,39.60000000000002,39.60000000000002,0.0,0.0,0.0
1,32.86,0.0,11,99,438131371,-52881032,0.0,2023-12-02 08:09:05,,15.0,39.60000000000002,39.60000000000002,0.0,0.0,0.0
1,32.86,0.0,11,101,438131371,-52881012,0.0,2023-12-02 08:09:06,,15.0,39.799999999999955,39.799999999999955,0.0,0.0,0.0
1,32.86,0.0,11,103,438131331,-52880956,0.0,2023-12-02 08:09:07,,14.0,39.799999999999955,39.799999999999955,0.0,0.0,0.0
1,32.86,1.395,13,94,438130539,-52879821,1.395,2023-12-02 08:09:27,,14.0,39.799999999999955,39.799999999999955,0.0,0.0,0.0
1,35.76,1.812,12,96,438130232,-52879884,1.812,2023-12-02 08:09:28,,14.0,39.799999999999955,39.799999999999955,0.0,0.0,0.0
2,39.79,2.437,12,99,438129793,-52879949,2.437,2023-12-02 08:09:29,,14.0,39.60000000000002,39.60000000000002,0.0,0.0,0.0
2,44.23,3.627,12,100,438129341,-52880060,3.627,2023-12-02 08:09:30,,14.0,39.39999999999998,39.39999999999998,0.0,0.0,0.0
2,49.05,4.271,12,102,438128803,-52880126,4.271,2023-12-02 08:09:31,,14.0,39.39999999999998,39.39999999999998,0.0,0.0,0.0
2,53.65,4.485,12,103,438128302,-52880153,4.485,2023-12-02 08:09:32,,14.0,39.200000000000045,39.200000000000045,0.0,0.0,0.0
2,59.74,4.556,12,104,438127643,-52880103,4.556,2023-12-02 08:09:33,,14.0,39.0,39.0,0.0,0.0,0.0
2,64.8,5.415,11,106,438127115,-52880045,5.415,2023-12-02 08:09:34,,14.0,38.799999999999955,38.799999999999955,0.0,0.0,0.0
2,70.36,5.547,11,107,438126503,-52879984,5.547,2023-12-02 08:09:35,,14.0,38.60000000000002,38.60000000000002,0.0,0.0,-1.81
3,75.35,5.301,10,107,438125983,-52880062,5.301,2023-12-02 08:09:36,,14.0,38.60000000000002,38.60000000000002,0.0,1.0,-3.2
3,80.22,4.943,10,108,438125481,-52880247,4.943,2023-12-02 08:09:37,,14.0,38.39999999999998,38.39999999999998,0.0,1.0,-3.04
3,85.03,4.625,10,108,438125020,-52880529,4.625,2023-12-02 08:09:38,,14.0,38.200000000000045,38.200000000000045,0.0,1.0,-2.93
3,89.38,4.629,12,107,438124601,-52880812,4.629,2023-12-02 08:09:39,,14.0,38.0,38.0,0.0,1.0,-2.93
3,93.8,4.593,13,107,438124192,-52881056,4.593,2023-12-02 08:09:40,,14.0,37.799999999999955,37.799999999999955,0.0,2.0,-2.98
3,99.85,4.615,13,108,438123544,-52881262,4.615,2023-12-02 08:09:41,,14.0,37.60000000000002,37.60000000000002,0.0,2.0,-3.03
3,106.66,5.739,13,109,438122823,-52881392,5.739,2023-12-02 08:09:42,,14.0,37.39999999999998,37.39999999999998,0.0,2.0,-3.1
4,113.7,6.126,14,110,438122093,-52881457,6.126,2023-12-02 08:09:43,,14.0,37.200000000000045,37.200000000000045,0.0,2.0,-3.2
4,120.22,6.158,15,111,438121370,-52881533,6.158,2023-12-02 08:09:44,,14.0,37.0,37.0,0.0,2.0,-3.25
4,126.61,5.847,16,113,438120678,-52881633,5.847,2023-12-02 08:09:45,,14.0,36.799999999999955,36.799999999999955,0.0,2.0,-3.22
4,133.06,5.726,18,115,438119998,-52881715,5.726,2023-12-02 08:09:46,,14.0,36.60000000000002,36.60000000000002,0.0,3.0,-3.14
4,140.62,5.785,17,115,438119203,-52881795,5.785,2023-12-02 08:09:47,,14.0,36.60000000000002,36.60000000000002,0.0,3.0,-3.0
4,148.53,5.9,17,114,438118338,-52881943,5.9,2023-12-02 08:09:48,,14.0,36.39999999999998,36.39999999999998,0.0,3.0,-2.82
5,156.44,6.123,16,114,438117519,-52881878,6.123,2023-12-02 08:09:49,,14.0,36.200000000000045,36.200000000000045,0.0,3.0,-2.73
5,165.8,6.348,15,111,438116503,-52882053,6.348,2023-12-02 08:09:50,,14.0,36.0,36.0,0.0,3.0,-2.71
5,174.0,5.273,14,111,438115804,-52882667,5.273,2023-12-02 08:09:51,,14.0,35.799999999999955,35.799999999999955,0.0,3.0,-2.64
