model,r2_score,mean_absolute_error,mean_squared_error,timestamp
RandomForest,0.683519081948314,475.70583333333343,313962.45960833336,2024-05-18 16:32:39.886957
Lasso,0.8422546745066974,305.6595662423333,156490.03639298747,2024-05-18 16:32:39.886957
Ridge,0.8246382233005797,354.60527033060106,173966.30126321147,2024-05-18 16:32:39.886957
