activity_id,date,distance_meters,elevation_gain,duration_seconds,hour_of_day,atl_start,ctl_start,watt_kg,avg_temperature,dh_extreme_pct,dh_pct,green_pct,yellow_pct,orange_pct,red_pct,black_pct
11418370730,2024-05-15,31824.6,239.8,6492.0,15,43.707863,35.19284,2.6569506726457397,24.246676514032497,0.005323220603870121,0.15175311763388474,0.7384976414255404,0.07861293767593559,0.017805110978101096,0.004733861646002819,0.0032741100366651525
11411290299,2024-05-14,28074.6,175.2,5378.0,18,39.363182,34.305965,2.6569506726457397,22.3102734051367,0.0018722292147738408,0.15389869993847044,0.7792795511845751,0.04728793146972703,0.01048781685701497,0.00498705037975905,0.0021867209556794046
11384343426,2024-05-11,41239.1,494.5999999999999,8614.0,9,39.84726,33.617268,2.6510067114093956,25.468696292658972,0.00221196903877959,0.16449069089435717,0.6925448288141506,0.09571527361260497,0.02738317492731669,0.011652407539435115,0.006001655173355856
11370936735,2024-05-09,29006.8,133.99999999999994,5590.0,15,42.275684,33.570152,2.6510067114093956,22.28265895953757,0.002137184301099125,0.10061039776147396,0.8359428259188353,0.047475233146216066,0.008726703149035432,0.0035757714386401686,0.0015318842847000188
11362664941,2024-05-08,30814.5,232.8,5889.0,15,36.636116,32.47551,2.6333333333333333,20.196322336398055,0.00614484952252025,0.16900834415576196,0.7304289004442865,0.06890903382275397,0.01769242710891925,0.003998728070474611,0.0038177168752835514
11346261507,2024-05-06,30221.9,187.6,5472.0,14,37.69545,32.324516,2.636262513904338,28.52925430210325,0.003931349647650767,0.14057191166306773,0.7797071273396797,0.05485420917743524,0.012679594334270124,0.005819170530253821,0.002436637307642423
11331764055,2024-05-04,30174.8,202.2,5673.0,15,39.71937,32.26254,2.636262513904338,20.45899814471243,0.0013309637625287295,0.16396715254209546,0.7531308633507807,0.06959425259669731,0.00719399914060429,0.0036182301158833256,0.0011645384914103973
11316120297,2024-05-02,30226.3,166.2,5939.0,14,43.79472,32.4144,2.6539753639417696,20.898856325947104,0.002408215716706615,0.11792903465658426,0.8102565491272413,0.05450379803677713,0.00891445249534052,0.00343841942759387,0.002549530539756252
11309761769,2024-05-01,28380.8,207.79999999999998,5747.0,16,40.84546,31.67743,2.6539753639417696,18.892665130568357,0.005049330922407396,0.15813766614309638,0.7619280903524697,0.059574505775964307,0.009140291737516796,0.003828913228687515,0.0023412018398581837
11300707226,2024-04-30,27965.7,177.20000000000005,6073.0,16,33.297043,30.272133,2.6539753639417696,18.53667434715822,0.0029690786200626033,0.13805353987710056,0.7902822898965708,0.05389014607587126,0.008762947906333994,0.0038444453438417694,0.002197552280219166
11277681242,2024-04-27,25808.7,149.2,5030.0,16,41.899155,31.067812,2.4519037777777775,16.557145864028627,0.0023510206584330118,0.11811267071391213,0.8193028377992951,0.04348116959743782,0.00895926216930097,0.006060034444811655,0.0017330046168092961
11270218215,2024-04-26,36759.5,221.40000000000003,6944.0,16,34.051853,29.57554,2.4519037777777775,19.297256328634226,0.0017611615577265728,0.12345608015199129,0.7961316379617093,0.06096868228825588,0.011249030646727037,0.004680307223358491,0.0017531001702311944
11247215041,2024-04-23,21675.9,599.9999999999998,6253.0,14,32.308292,28.632977,2.4519037777777775,20.531541218637994,0.02391487278031174,0.3199447415028088,0.2888061520833564,0.1300853528591294,0.17289231556749002,0.033169157932341896,0.031187407274561794
11239581596,2024-04-22,14889.6,494.60000000000014,5040.0,14,19.30261,26.503752,2.4383573480662983,22.000983525940498,0.046362142907778583,0.37294530175053336,0.2567531126669696,0.07354985938479278,0.13279617071065364,0.06939854898591168,0.04819486359336034
11212116758,2024-04-18,15384.9,410.0000000000001,4619.0,17,19.592289,26.862978,2.4456869613259666,15.097295992274264,0.028499082802555198,0.35308351268989985,0.3349274194832873,0.05907319290883133,0.13088877078682867,0.05231213806835096,0.04121588326024657
11159578804,2024-04-11,15268.5,393.2000000000003,4295.0,17,36.979477,29.180763,2.453038674033149,14.67741935483871,0.03098123156972323,0.31481042794293296,0.30905904480121166,0.10058014426759505,0.14636625149736396,0.062318047761901536,0.03588485215927165
11142778923,2024-04-09,19352.6,545.2,6167.0,14,28.93846,27.423368,2.453038674033149,20.39071494893222,0.04243580302007062,0.31411968715739275,0.3315079160604218,0.07806719572064685,0.12486486819233128,0.0542257940742517,0.05477873577488506
11121473372,2024-04-06,16197.9,398.20000000000005,4858.0,17,27.837336,26.85155,2.453038674033149,21.786232732381176,0.02012242379868241,0.33241987103849047,0.3005851910659165,0.06908996356333877,0.16988633822801716,0.07480211979766042,0.03309409250789419
11106072928,2024-04-04,41183.0,176.8,8093.0,14,19.690636,25.438366,2.3984055248618783,19.20658842357962,0.0019084680200704169,0.0848254724808261,0.8679623629179397,0.03579483628328433,0.005571249496456289,0.0019114812533214574,0.002026129548101729
11091783831,2024-04-02,35005.7,163.6,7675.0,14,13.7638035,24.727308,2.3616626086956525,17.062648104265403,0.0018950249314629718,0.09038081716334491,0.8495715841800554,0.04607967838746898,0.006647936806067467,0.004085741822168694,0.001339216709431526
11084774766,2024-04-01,28487.3,171.79999999999998,6323.0,14,5.7421517,23.732834,2.3640266304347826,15.447472150814054,0.001465344345379762,0.11012675891896923,0.8118492959495827,0.05205597821815271,0.015625774525504506,0.006378002680714362,0.002498845361696743
10986956866,2024-03-18,35406.4,183.79999999999995,6786.0,15,28.45467,30.92917,2.3973720652173913,18.484544295729766,0.001368825524785268,0.11070978470542431,0.8166184567439879,0.05147884138376073,0.013227465578352584,0.004193506534752872,0.002403119528936449
