model,r2_score,mean_absolute_error,mean_squared_error,timestamp
RandomForest,0.8358046285086833,494.36000000000007,361216.85534545465,2024-05-24 11:38:25.433184
Lasso,0.9650924293417493,212.2130725214853,76793.89976951564,2024-05-24 11:38:25.433184
Ridge,0.9618262898622363,245.80125402350114,83979.14878837582,2024-05-24 11:38:25.433184
