feature,coef
distance,1485.7532355245874
ascent_meters,1285.1058476667818
wattkilo,212.9257465389255
time_of_day_afternoon,132.41094420220492
season_summer,55.42734939132526
black_pctg,1.2861541237192924e-13
ctl,-0.0
season_fall,-0.0
downhill_pctg,-0.0
yellow_pctg,0.0
orange_pctg,0.0
green_pctg,-24.563625559022686
season_winter,-43.48601891002968
time_of_day_morning,-49.030806232791306
season_spring,-361.23231816630505
atl,-451.56188077740927
red_pctg,-490.05055642189035
