mse,mae,r2,best_params,timestamp,n_cols
190994.88944616664,334.7135323100568,0.8515234258721658,"{'regressor__alpha': 10, 'regressor__max_iter': 1000}",2024-04-23 12:09:47,10
190994.88944616664,334.7135323100568,0.8515234258721658,"{'regressor__alpha': 10, 'regressor__max_iter': 1000}",2024-04-23 12:11:44,10
143189.86418568593,273.3219866206593,0.8886863384367523,"{'regressor__alpha': 10, 'regressor__max_iter': 1000}",2024-04-23 12:26:18,12
